index,data
1,"[72, 24, 67, 14, 57, 41, 47, 8, 48, 56]"
2,"[23, 72, 60, 66, 10, 29, 30, 45, 55, 25]"
3,"[31, 66, 1, 10, 51, 58, 9, 6, 16, 68]"
4,"[4, 78, 10, 25, 45, 57, 51, 63, 79, 37]"
5,"[49, 22, 75, 32, 26, 8, 47, 69, 53, 59]"
6,"[41, 44, 31, 8, 11, 42, 50, 39, 45, 51]"
7,"[14, 41, 64, 65, 7, 11, 60, 2, 33, 25]"
8,"[32, 36, 24, 30, 66, 2, 65, 58, 59, 13]"
9,"[44, 43, 51, 29, 31, 75, 64, 16, 8, 56]"
10,"[64, 53, 69, 49, 34, 61, 17, 50, 52, 48]"
11,"[35, 39, 31, 23, 76, 15, 73, 54, 50, 30]"
12,"[76, 18, 68, 21, 62, 69, 47, 24, 34, 61]"
13,"[55, 11, 74, 13, 16, 67, 33, 47, 50, 61]"
14,"[36, 35, 62, 21, 53, 3, 79, 51, 11, 40]"
15,"[69, 47, 22, 60, 73, 68, 29, 5, 55, 72]"
16,"[11, 27, 50, 66, 73, 58, 59, 65, 68, 35]"
17,"[5, 37, 4, 12, 43, 16, 79, 15, 56, 46]"
18,"[40, 9, 11, 44, 75, 67, 54, 14, 23, 52]"
19,"[45, 75, 32, 35, 23, 76, 3, 16, 44, 5]"
20,"[77, 34, 61, 38, 5, 2, 28, 65, 14, 60]"
21,"[27, 62, 59, 60, 36, 33, 14, 7, 41, 44]"
22,"[22, 2, 11, 57, 40, 16, 32, 73, 43, 49]"
23,"[45, 55, 59, 63, 64, 35, 75, 17, 13, 38]"
24,"[19, 73, 71, 29, 41, 34, 9, 4, 61, 31]"
25,"[60, 25, 61, 62, 20, 40, 80, 13, 41, 14]"
26,"[33, 66, 51, 14, 28, 12, 23, 49, 48, 79]"
27,"[75, 65, 5, 57, 27, 78, 11, 69, 79, 67]"
28,"[11, 2, 50, 55, 64, 28, 13, 3, 16, 4]"
29,"[45, 30, 62, 2, 47, 38, 10, 17, 59, 50]"
30,"[42, 36, 31, 40, 30, 16, 12, 26, 32, 65]"
31,"[6, 60, 80, 41, 65, 3, 54, 59, 38, 46]"
32,"[44, 32, 56, 9, 4, 37, 21, 22, 59, 77]"
33,"[10, 33, 40, 70, 39, 5, 29, 76, 72, 52]"
34,"[68, 14, 6, 21, 59, 63, 56, 9, 3, 75]"
35,"[47, 29, 32, 53, 7, 73, 65, 66, 61, 35]"
36,"[63, 10, 42, 1, 28, 2, 50, 18, 36, 35]"
37,"[35, 53, 46, 71, 14, 41, 45, 78, 16, 67]"
38,"[47, 62, 68, 69, 37, 56, 72, 39, 57, 78]"
39,"[78, 34, 69, 61, 10, 59, 64, 36, 75, 42]"
40,"[53, 7, 26, 80, 64, 59, 5, 43, 58, 56]"
41,"[77, 59, 27, 18, 80, 52, 32, 75, 21, 15]"
42,"[34, 21, 42, 63, 8, 23, 39, 4, 60, 58]"
43,"[9, 70, 43, 80, 31, 41, 28, 3, 35, 26]"
44,"[54, 79, 4, 33, 17, 3, 27, 23, 63, 67]"
45,"[73, 15, 17, 54, 76, 62, 11, 25, 49, 6]"
46,"[74, 13, 23, 62, 46, 55, 73, 71, 48, 38]"
47,"[50, 33, 36, 16, 56, 77, 28, 8, 11, 53]"
48,"[68, 11, 76, 65, 37, 52, 53, 33, 15, 51]"
49,"[26, 63, 50, 25, 36, 17, 28, 46, 68, 47]"
50,"[54, 19, 70, 71, 17, 38, 76, 58, 78, 62]"
51,"[40, 22, 7, 21, 37, 23, 71, 45, 13, 31]"
52,"[17, 41, 3, 69, 24, 47, 75, 27, 2, 46]"
53,"[33, 25, 52, 6, 8, 3, 70, 14, 45, 69]"
54,"[20, 45, 38, 12, 35, 27, 30, 10, 74, 4]"
55,"[74, 72, 78, 64, 45, 77, 60, 49, 19, 33]"
56,"[61, 53, 46, 19, 42, 15, 59, 10, 23, 35]"
57,"[21, 55, 71, 1, 75, 12, 69, 51, 9, 70]"
58,"[76, 56, 27, 11, 52, 63, 2, 65, 13, 28]"
59,"[53, 68, 80, 8, 56, 18, 46, 41, 11, 3]"
60,"[41, 63, 78, 11, 73, 57, 16, 69, 3, 70]"
61,"[11, 75, 80, 57, 66, 35, 12, 36, 44, 71]"
62,"[26, 42, 24, 35, 31, 71, 47, 54, 77, 80]"
63,"[8, 43, 51, 38, 24, 65, 19, 77, 52, 68]"
64,"[59, 19, 20, 16, 57, 42, 43, 26, 34, 17]"
65,"[5, 64, 38, 7, 72, 77, 62, 54, 41, 78]"
66,"[15, 75, 44, 47, 48, 8, 6, 78, 59, 12]"
67,"[13, 57, 37, 38, 62, 25, 35, 11, 24, 75]"
68,"[36, 70, 80, 76, 37, 52, 56, 60, 29, 74]"
69,"[4, 27, 63, 52, 62, 76, 8, 7, 75, 3]"
70,"[1, 43, 57, 53, 13, 16, 60, 50, 17, 29]"
71,"[11, 66, 72, 79, 34, 18, 5, 30, 14, 19]"
72,"[25, 58, 64, 29, 11, 27, 20, 78, 72, 61]"
73,"[7, 23, 43, 50, 68, 64, 17, 37, 78, 46]"
74,"[18, 19, 32, 47, 31, 28, 65, 4, 51, 66]"
75,"[61, 19, 38, 55, 13, 25, 32, 63, 9, 67]"
76,"[19, 61, 11, 58, 17, 39, 5, 32, 6, 40]"
77,"[21, 45, 47, 25, 54, 72, 15, 33, 2, 74]"
78,"[35, 78, 51, 71, 6, 31, 34, 68, 22, 75]"
79,"[49, 52, 71, 13, 77, 38, 69, 29, 50, 56]"
80,"[73, 58, 13, 49, 53, 15, 39, 59, 42, 57]"
81,"[34, 67, 8, 52, 49, 65, 32, 58, 78, 74]"
82,"[12, 67, 58, 39, 11, 78, 16, 75, 42, 62]"
83,"[22, 7, 72, 13, 56, 18, 25, 65, 70, 40]"
84,"[41, 48, 50, 9, 36, 74, 26, 44, 46, 5]"
85,"[49, 56, 28, 63, 16, 15, 76, 77, 80, 30]"
86,"[43, 40, 69, 30, 65, 21, 74, 41, 28, 26]"
87,"[69, 28, 56, 32, 64, 36, 1, 23, 29, 24]"
88,"[9, 24, 53, 64, 76, 70, 63, 11, 60, 73]"
89,"[76, 57, 71, 8, 55, 64, 18, 79, 37, 63]"
90,"[20, 30, 76, 38, 79, 44, 35, 52, 62, 58]"
91,"[62, 22, 50, 8, 3, 55, 46, 78, 66, 19]"
92,"[77, 75, 6, 9, 14, 70, 28, 76, 64, 36]"
93,"[69, 46, 62, 1, 20, 16, 38, 49, 58, 65]"
94,"[76, 77, 58, 27, 5, 8, 35, 48, 16, 6]"
95,"[68, 45, 79, 49, 57, 72, 43, 60, 80, 56]"
96,"[70, 39, 51, 37, 4, 10, 38, 28, 53, 19]"
97,"[57, 19, 31, 13, 75, 26, 69, 30, 6, 76]"
98,"[27, 33, 60, 21, 48, 78, 26, 44, 29, 39]"
99,"[69, 13, 44, 55, 39, 4, 5, 70, 22, 31]"
100,"[7, 26, 21, 55, 48, 5, 70, 34, 52, 58]"
101,"[31, 48, 76, 64, 2, 77, 17, 75, 69, 19]"
102,"[18, 71, 5, 47, 76, 31, 21, 20, 66, 79]"
103,"[51, 73, 67, 23, 78, 42, 8, 76, 45, 7]"
104,"[5, 51, 27, 78, 17, 45, 49, 36, 7, 56]"
105,"[80, 74, 61, 58, 46, 43, 4, 55, 60, 36]"
106,"[77, 3, 79, 26, 10, 22, 40, 28, 36, 11]"
107,"[41, 76, 32, 55, 30, 13, 22, 58, 56, 31]"
108,"[46, 2, 39, 21, 5, 74, 6, 11, 68, 25]"
109,"[75, 62, 38, 31, 22, 63, 59, 50, 52, 21]"
110,"[73, 72, 80, 7, 62, 34, 24, 45, 20, 58]"
111,"[15, 22, 27, 13, 68, 47, 64, 28, 32, 66]"
112,"[53, 55, 68, 36, 62, 13, 34, 29, 75, 12]"
113,"[12, 48, 41, 18, 8, 2, 33, 30, 28, 43]"
114,"[12, 62, 3, 73, 79, 36, 18, 55, 49, 17]"
115,"[15, 58, 76, 6, 49, 41, 47, 51, 63, 75]"
116,"[33, 41, 67, 22, 36, 26, 11, 80, 66, 47]"
117,"[59, 5, 68, 54, 34, 67, 23, 6, 24, 74]"
118,"[73, 9, 74, 46, 29, 36, 31, 41, 1, 39]"
119,"[29, 31, 46, 76, 21, 61, 24, 75, 3, 9]"
120,"[78, 77, 52, 6, 68, 8, 41, 49, 51, 74]"
121,"[38, 37, 55, 33, 76, 53, 41, 63, 43, 18]"
122,"[35, 44, 76, 22, 30, 78, 65, 72, 46, 52]"
123,"[25, 68, 36, 40, 55, 24, 53, 49, 19, 51]"
124,"[21, 9, 37, 14, 17, 32, 31, 51, 34, 30]"
125,"[16, 50, 11, 27, 52, 75, 21, 10, 20, 13]"
126,"[16, 19, 38, 65, 68, 14, 47, 8, 3, 55]"
127,"[60, 76, 80, 62, 50, 46, 66, 19, 48, 43]"
128,"[55, 62, 10, 74, 43, 75, 18, 13, 8, 53]"
129,"[34, 69, 53, 63, 28, 37, 22, 27, 78, 25]"
130,"[52, 49, 64, 70, 78, 77, 6, 21, 42, 22]"
131,"[74, 40, 63, 15, 78, 34, 5, 1, 6, 47]"
